config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.7111,0.0781,-0.0231,3.3805,0.1275,0.4583
L1_min_opt,1.9088,0.0941,-0.0244,3.8579,0.1392,0.455
L2_tur_penalty,1.9945,0.0984,-0.0243,4.0446,0.1008,0.4543
L3_asset_cap,1.6089,0.0677,-0.0192,3.5303,0.074,0.4597
L4_gacha_t,1.683,0.0705,-0.0183,3.8592,0.0743,0.4596
L5_mkt_beta,1.4949,0.0625,-0.0184,3.3984,0.075,0.4602
L6_sector_beta,1.9603,0.0721,-0.0152,4.7328,0.0757,0.4606
L7_volscale,2.0249,0.0726,-0.0151,4.8027,0.0711,0.4604
L8_stoploss,2.4006,0.0834,-0.0146,5.721,0.0673,0.4518
L9_DD_ctrl,2.4006,0.0834,-0.0146,5.721,0.0673,0.4518
L10_restricted,2.2899,0.0746,-0.0179,4.1582,0.0609,0.4554
L11_paircap,2.2722,0.0733,-0.0177,4.1518,0.0603,0.4559
L12_voladj,2.1821,0.066,-0.0155,4.2502,0.0757,0.4614
