step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.113,-0.0042,-0.0052,-0.12,0.006,-0.001
L2_tur_penalty,0.172,0.0101,0.0036,0.22,-0.022,-0.001
L3_asset_cap,0.214,0.0003,0.0144,0.25,-0.015,0.001
L4_gacha_t,0.176,0.0063,0.0055,0.34,0.001,-0.001
L5_mkt_beta,-0.16,-0.0065,-0.0072,-0.38,0.001,0.0
L6_sector_beta,0.153,0.0046,0.0046,0.24,0.001,0.0
L7_volscale,-0.142,-0.0072,-0.003,-0.27,-0.002,0.0
L8_stoploss,0.015,-0.0011,0.0034,0.05,0.0,-0.004
L9_DD_ctrl,-0.006,-0.0002,0.0,-0.01,0.0,0.0
L10_restricted,0.108,0.0039,-0.0003,0.11,-0.002,-0.001
L11_paircap,0.115,0.0033,0.0019,0.15,-0.0,-0.002
L12_voladj,-0.017,-0.0055,0.0056,0.02,0.017,0.002
