config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.7834,0.0423,-0.0504,0.8401,0.0743,0.466
L1_min_opt,0.6697,0.0394,-0.0556,0.708,0.081,0.4638
L2_tur_penalty,0.8182,0.0478,-0.052,0.919,0.0593,0.4633
L3_asset_cap,1.0967,0.047,-0.0376,1.2499,0.0445,0.4663
L4_gacha_t,1.2868,0.0537,-0.0321,1.67,0.0453,0.4659
L5_mkt_beta,1.1637,0.0486,-0.0393,1.2385,0.0459,0.4656
L6_sector_beta,1.3361,0.0533,-0.0347,1.5369,0.0465,0.4656
L7_volscale,1.1992,0.0455,-0.0377,1.2071,0.044,0.4654
L8_stoploss,1.2255,0.044,-0.0342,1.2856,0.0437,0.4614
L9_DD_ctrl,1.2205,0.0438,-0.0342,1.2799,0.0437,0.4614
L10_restricted,1.2924,0.0466,-0.0346,1.346,0.0416,0.4606
L11_paircap,1.4054,0.0501,-0.0327,1.5313,0.0413,0.4587
L12_voladj,1.3888,0.0429,-0.0269,1.5933,0.0591,0.4599
