step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.16,-0.0039,-0.0048,-0.47,0.006,-0.001
L2_tur_penalty,0.039,0.0015,0.0002,0.06,-0.019,-0.001
L3_asset_cap,0.058,-0.0049,0.0069,0.37,0.001,0.002
L4_gacha_t,-0.024,-0.0007,-0.0011,-0.13,0.001,0.001
L5_mkt_beta,0.031,0.0012,0.0,0.04,0.0,-0.0
L6_sector_beta,-0.25,-0.0125,0.0,-0.43,0.001,0.0
L7_volscale,-0.102,-0.0071,0.0004,-0.22,-0.002,0.0
L8_stoploss,0.302,0.01,0.0061,0.93,0.001,-0.011
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.061,-0.0057,-0.0009,-0.35,-0.005,0.005
L11_paircap,-0.07,-0.0031,0.0005,-0.09,-0.001,0.001
L12_voladj,-0.611,-0.025,-0.0019,-1.19,0.016,0.003
