config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.8101,0.0776,-0.0301,2.5746,0.0935,0.4921
L1_min_opt,1.6499,0.0737,-0.0349,2.1092,0.0998,0.491
L2_tur_penalty,1.6886,0.0752,-0.0347,2.1674,0.0805,0.4897
L3_asset_cap,1.7465,0.0703,-0.0278,2.5326,0.0818,0.4914
L4_gacha_t,1.7225,0.0696,-0.0289,2.4062,0.0823,0.4919
L5_mkt_beta,1.7539,0.0708,-0.0289,2.4454,0.0824,0.4918
L6_sector_beta,1.5037,0.0583,-0.0289,2.0158,0.0835,0.4922
L7_volscale,1.402,0.0512,-0.0285,1.7989,0.0816,0.4923
L8_stoploss,1.7041,0.0612,-0.0224,2.7302,0.0831,0.4815
L9_DD_ctrl,1.7041,0.0612,-0.0224,2.7302,0.0831,0.4815
L10_restricted,1.6428,0.0555,-0.0233,2.3844,0.078,0.4866
L11_paircap,1.5732,0.0524,-0.0228,2.2945,0.0772,0.4878
L12_voladj,0.9617,0.0274,-0.0247,1.1085,0.0933,0.4904
