step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.169,-0.0018,-0.0062,-0.45,0.011,0.0
L2_tur_penalty,0.139,0.0057,0.0028,0.37,-0.029,-0.006
L3_asset_cap,-0.163,-0.008,0.0054,0.07,-0.007,0.003
L4_gacha_t,0.005,0.0,0.0,-0.0,0.0,-0.0
L5_mkt_beta,0.014,0.0005,-0.0002,0.01,-0.0,-0.0
L6_sector_beta,-0.03,-0.0013,-0.0003,-0.09,0.0,0.0
L7_volscale,0.014,-0.0002,0.001,0.07,0.0,0.001
L8_stoploss,-0.064,-0.0037,0.001,-0.09,0.005,-0.006
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.263,0.0071,0.0044,0.95,-0.002,0.001
L11_paircap,0.121,0.0041,0.0016,0.59,-0.001,0.0
L12_voladj,-0.555,-0.0192,-0.0073,-2.03,0.02,0.001
