config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.2142,0.0408,-0.0235,1.7326,0.0793,0.5124
L1_min_opt,1.0135,0.0373,-0.0297,1.2557,0.0903,0.5125
L2_tur_penalty,1.1557,0.0432,-0.0269,1.6081,0.0613,0.5068
L3_asset_cap,1.0517,0.0376,-0.0215,1.748,0.0545,0.5099
L4_gacha_t,1.0562,0.0376,-0.0215,1.7442,0.0546,0.5099
L5_mkt_beta,1.0698,0.038,-0.0217,1.754,0.0546,0.5097
L6_sector_beta,1.0464,0.037,-0.022,1.6788,0.0546,0.5098
L7_volscale,1.0513,0.0365,-0.021,1.7381,0.0548,0.5103
L8_stoploss,0.9807,0.0326,-0.02,1.629,0.0596,0.504
L9_DD_ctrl,0.9807,0.0326,-0.02,1.629,0.0596,0.504
L10_restricted,1.2342,0.0395,-0.0155,2.5382,0.0574,0.505
L11_paircap,1.3559,0.0437,-0.0141,3.1064,0.0566,0.5051
L12_voladj,0.8379,0.0257,-0.0213,1.2041,0.0759,0.5056
