step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.114,-0.0188,0.0062,-0.1,0.011,-0.0
L2_tur_penalty,0.074,0.007,0.0017,0.13,-0.018,-0.003
L3_asset_cap,0.075,0.0069,-0.0054,-0.04,-0.03,0.003
L4_gacha_t,-0.787,-0.1333,0.0672,-0.9,-0.025,0.002
L5_mkt_beta,0.925,0.0092,0.0057,2.34,-0.002,-0.037
L6_sector_beta,-0.048,-0.0007,0.0,-0.11,0.0,0.002
L7_volscale,-0.075,-0.0009,0.0,-0.13,0.001,-0.001
L8_stoploss,0.216,0.0026,-0.0001,0.38,0.002,-0.01
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.049,-0.0002,0.0002,0.04,0.0,0.006
L11_paircap,-0.05,-0.0004,-0.0004,-0.27,-0.0,0.006
L12_voladj,-0.098,-0.0017,0.0007,0.1,0.001,-0.003
