config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.6052,0.1538,-0.0815,1.8873,0.0792,0.4883
L1_min_opt,1.5022,0.136,-0.0753,1.8066,0.0905,0.4868
L2_tur_penalty,1.5803,0.1433,-0.0737,1.9459,0.0719,0.484
L3_asset_cap,1.5676,0.1422,-0.079,1.7996,0.0412,0.4908
L4_gacha_t,0.8439,0.0117,-0.0118,0.9922,0.016,0.4889
L5_mkt_beta,1.782,0.0209,-0.0058,3.6002,0.0143,0.4524
L6_sector_beta,1.7353,0.0202,-0.0058,3.4816,0.0144,0.4547
L7_volscale,1.6546,0.0193,-0.0057,3.4032,0.0148,0.4556
L8_stoploss,1.7605,0.0206,-0.0062,3.3364,0.0163,0.4503
L9_DD_ctrl,1.7605,0.0206,-0.0062,3.3364,0.0163,0.4503
L10_restricted,1.7961,0.0203,-0.006,3.3525,0.0166,0.4565
L11_paircap,1.7439,0.0198,-0.0064,3.0811,0.0163,0.4623
L12_voladj,1.6345,0.0181,-0.0057,3.1616,0.0176,0.4609
