step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.234,-0.0047,-0.0096,-1.4,0.008,-0.001
L2_tur_penalty,-0.071,-0.0009,-0.0002,-0.04,-0.016,0.007
L3_asset_cap,0.066,0.0002,0.0057,0.59,-0.002,-0.002
L4_gacha_t,-0.036,-0.002,-0.0001,-0.08,0.0,0.0
L5_mkt_beta,0.092,0.0048,0.0038,0.76,0.0,-0.001
L6_sector_beta,0.142,-0.0025,0.005,0.98,0.001,-0.001
L7_volscale,0.036,-0.0058,0.0038,0.94,0.002,0.002
L8_stoploss,0.135,0.0065,-0.0003,0.34,0.004,-0.002
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.175,-0.0091,0.0001,-0.62,-0.002,0.002
L11_paircap,0.152,0.0048,0.0,0.34,-0.002,-0.003
L12_voladj,-0.548,-0.0276,-0.0029,-2.67,0.023,0.01
