config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.155,0.092,-0.0222,4.1477,0.0444,0.4668
L1_min_opt,1.9206,0.0873,-0.0318,2.7464,0.0522,0.4661
L2_tur_penalty,1.8498,0.0864,-0.032,2.7028,0.0358,0.4734
L3_asset_cap,1.9162,0.0866,-0.0263,3.2887,0.034,0.4716
L4_gacha_t,1.8806,0.0846,-0.0264,3.2042,0.034,0.4717
L5_mkt_beta,1.9725,0.0894,-0.0226,3.9606,0.0341,0.4708
L6_sector_beta,2.1146,0.0869,-0.0176,4.9387,0.0346,0.4701
L7_volscale,2.1508,0.0811,-0.0138,5.8835,0.0367,0.4724
L8_stoploss,2.2854,0.0876,-0.0141,6.2278,0.041,0.4702
L9_DD_ctrl,2.2854,0.0876,-0.0141,6.2278,0.041,0.4702
L10_restricted,2.1105,0.0785,-0.014,5.6096,0.0394,0.4725
L11_paircap,2.263,0.0833,-0.014,5.9523,0.0378,0.47
L12_voladj,1.7148,0.0557,-0.0169,3.287,0.0606,0.4802
