step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.049,-0.0087,-0.0023,-0.23,0.01,-0.004
L2_tur_penalty,0.014,0.0036,0.0009,0.09,-0.015,0.006
L3_asset_cap,0.006,-0.0253,-0.003,-0.47,-0.014,0.01
L4_gacha_t,0.822,-0.1534,0.0617,0.95,-0.016,-0.031
L5_mkt_beta,0.309,0.0044,0.0,0.4,-0.001,-0.008
L6_sector_beta,0.0,0.0,0.0,0.0,0.0,0.0
L7_volscale,0.054,-0.0008,0.0003,0.05,0.002,0.002
L8_stoploss,0.033,0.0007,0.0009,0.4,0.0,-0.005
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.366,-0.007,0.0002,-0.61,-0.001,0.019
L11_paircap,0.01,0.0001,0.0001,0.05,0.0,0.0
L12_voladj,0.188,0.0015,-0.0007,-0.09,0.003,0.008
