config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.9063,0.2261,-0.0686,3.2958,0.0474,0.4382
L1_min_opt,1.8376,0.2153,-0.0709,3.0371,0.0569,0.4339
L2_tur_penalty,1.8446,0.2181,-0.07,3.115,0.0421,0.44
L3_asset_cap,1.8762,0.1953,-0.073,2.6756,0.0279,0.4507
L4_gacha_t,2.4198,0.0378,-0.0113,3.3371,0.0121,0.4181
L5_mkt_beta,2.7098,0.0421,-0.0113,3.7226,0.0116,0.4108
L6_sector_beta,2.7097,0.0421,-0.0113,3.7224,0.0116,0.4108
L7_volscale,2.7372,0.0412,-0.011,3.757,0.014,0.4136
L8_stoploss,2.7706,0.0418,-0.0101,4.1286,0.0143,0.4089
L9_DD_ctrl,2.7706,0.0418,-0.0101,4.1286,0.0143,0.4089
L10_restricted,2.4022,0.0348,-0.0099,3.5107,0.0131,0.4276
L11_paircap,2.4111,0.0349,-0.0098,3.5568,0.013,0.4276
L12_voladj,2.569,0.0362,-0.0105,3.4488,0.0159,0.437
