step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.182,0.0102,0.0088,0.33,0.025,-0.008
L2_tur_penalty,0.278,0.0172,0.0033,0.42,-0.097,0.006
L3_asset_cap,-0.225,-0.0153,0.0029,-0.22,-0.007,0.006
L4_gacha_t,0.088,0.0028,-0.0015,0.01,-0.001,0.006
L5_mkt_beta,0.01,-0.0007,-0.0033,-0.1,0.0,0.004
L6_sector_beta,0.173,-0.0069,0.0132,0.27,0.01,0.014
L7_volscale,-0.036,-0.0057,0.0014,-0.09,-0.008,0.001
L8_stoploss,-0.386,-0.0212,0.0089,-0.27,-0.072,0.004
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.147,-0.0068,-0.0043,-0.36,-0.019,-0.004
L11_paircap,0.037,0.0013,-0.0007,0.02,-0.002,0.0
L12_voladj,-0.298,-0.0146,-0.0014,-0.45,0.01,0.004
