config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.7873,0.052,-0.0627,0.8292,0.4657,0.2623
L1_min_opt,0.963,0.0619,-0.0539,1.1487,0.4917,0.2539
L2_tur_penalty,1.2329,0.0786,-0.0506,1.5546,0.3949,0.2595
L3_asset_cap,1.0199,0.0641,-0.0477,1.3452,0.3877,0.2647
L4_gacha_t,1.0876,0.066,-0.0492,1.3421,0.3864,0.2708
L5_mkt_beta,1.0645,0.0633,-0.0525,1.2071,0.3869,0.2744
L6_sector_beta,1.3768,0.064,-0.0393,1.6292,0.3965,0.2883
L7_volscale,1.3629,0.059,-0.038,1.5554,0.3885,0.2888
L8_stoploss,1.0291,0.0396,-0.0292,1.358,0.3161,0.2933
L9_DD_ctrl,1.0291,0.0396,-0.0292,1.358,0.3161,0.2933
L10_restricted,0.7858,0.0289,-0.0337,0.8596,0.2969,0.2891
L11_paircap,0.8362,0.0309,-0.034,0.9075,0.2947,0.2887
L12_voladj,0.5203,0.0157,-0.0355,0.4411,0.3037,0.292
